sectionname,starttime,endtime,duration,responsetime,delta,condition,response,accuracy
Stim2_139,396.61519503593445,397.1485559940338,0.5333609580993652,397.1485559940338,0.5333609580993652,right-inc,right,1
Stim2_140,397.18173813819885,397.68640398979187,0.5046658515930176,,,,,
Stim2_141,397.71956396102905,398.38189816474915,0.6623342037200928,398.38189816474915,0.6623342037200928,right-inc,right,1
Stim2_142,398.41520714759827,398.9317820072174,0.5165748596191406,,,,,
Stim2_143,398.9652440547943,399.6153781414032,0.6501340866088867,399.6153781414032,0.6501340866088867,right-inc,right,1
Stim2_144,399.64847111701965,400.1484730243683,0.5000019073486328,,,,,
Stim2_145,400.1819529533386,400.8485960960388,0.6666431427001953,400.8485960960388,0.6666431427001953,right-inc,right,1
Stim2_146,400.8819160461426,401.3984999656677,0.5165839195251465,,,,,
Stim2_147,401.43191409111023,402.0367360115051,0.6048219203948975,402.0367360115051,0.6048219203948975,right-inc,right,1
Stim2_148,402.06969714164734,402.5820119380951,0.5123147964477539,,,,,
Stim2_149,402.61511611938477,403.2318091392517,0.6166930198669434,403.2318091392517,0.6166930198669434,right-con,right,1
Stim2_150,403.2651951313019,403.78187108039856,0.5166759490966797,,,,,
Stim2_151,403.81514716148376,404.4197449684143,0.604597806930542,404.4197449684143,0.604597806930542,left-con,left,1
Stim2_152,404.4530680179596,404.9653351306915,0.5122671127319336,,,,,
Stim2_153,404.9986641407013,405.7320499420166,0.7333858013153076,405.7320499420166,0.7333858013153076,right-inc,right,1
Stim2_154,405.76519107818604,406.2652449607849,0.500053882598877,,,,,
Stim2_155,406.29851603507996,406.94856214523315,0.6500461101531982,406.94856214523315,0.6500461101531982,left-con,left,1
Stim2_156,406.98194098472595,407.49858808517456,0.5166471004486084,,,,,
Stim2_157,407.5318670272827,408.1819131374359,0.6500461101531982,408.1819131374359,0.6500461101531982,right-neut,right,1
Stim2_158,408.2153730392456,408.71975803375244,0.5043849945068359,,,,,
Stim2_159,408.75289011001587,409.3318819999695,0.5789918899536133,409.3318819999695,0.5789918899536133,right-neut,right,1
Stim2_160,409.36521005630493,409.86526894569397,0.5000588893890381,,,,,
Stim2_161,409.89856815338135,410.4319190979004,0.533350944519043,410.4319190979004,0.533350944519043,left-neut,left,1
Stim2_162,410.46527314186096,410.96964502334595,0.5043718814849854,,,,,
Stim2_163,411.0033791065216,411.86545515060425,0.8620760440826416,411.86545515060425,0.8620760440826416,left-inc,left,1
Stim2_164,411.8986129760742,412.39864206314087,0.5000290870666504,,,,,
Stim2_165,412.43207907676697,413.1034610271454,0.671381950378418,413.1034610271454,0.671381950378418,left-inc,left,1
Stim2_166,413.1364870071411,413.64884996414185,0.5123629570007324,,,,,
Stim2_167,413.68190813064575,414.3819589614868,0.7000508308410645,414.3819589614868,0.7000508308410645,right-con,right,1
Stim2_168,414.41544795036316,414.9320139884949,0.5165660381317139,,,,,
Stim2_169,414.96528816223145,415.51969599723816,0.5544078350067139,415.51969599723816,0.5544078350067139,right-neut,right,1
Stim2_170,415.5530090332031,416.0653760433197,0.5123670101165771,,,,,
Stim2_171,416.0988070964813,416.8154671192169,0.7166600227355957,416.8154671192169,0.7166600227355957,right-inc,right,1
Stim2_172,416.848708152771,417.365385055542,0.5166769027709961,,,,,
Stim2_173,417.39864206314087,418.01557207107544,0.6169300079345703,418.01557207107544,0.6169300079345703,left-con,left,1
Stim2_174,418.0486710071564,418.54871702194214,0.5000460147857666,,,,,
Stim2_175,418.58198404312134,419.1821630001068,0.6001789569854736,419.1821630001068,0.6001789569854736,right-con,right,1
Stim2_176,419.2153649330139,419.71976613998413,0.5044012069702148,,,,,
Stim2_177,419.75302600860596,420.4487090110779,0.6956830024719238,420.4487090110779,0.6956830024719238,left-con,left,1
Stim2_178,420.482036113739,420.9820680618286,0.5000319480895996,,,,,
